,W,L,S,seat,Sensitivity_W,Sensitivity_L
0,116.10648234333969,353.7749700164181,12.475571059914529,25,,
1,104.27754714779628,325.80129005433673,12.478280672566699,26,-11.828935195543409,-27.97367996208135
2,96.28129923335159,295.1648293587738,12.511343178775862,27,-7.9962479144446945,-30.63646069556296
3,88.8186447884892,276.37959278687663,12.51860054286036,28,-7.462654444862395,-18.785236571897144
4,75.81412293506102,232.40678589808277,12.482256028410756,29,-13.004521853428173,-43.972806888793855
5,72.05297790645616,223.28112614345196,12.478038323614346,30,-3.761145028604858,-9.125659754630817
6,62.90316698839789,196.31006807336618,12.516766934435035,31,-9.149810918058272,-26.971058070085775
7,50.28765810120912,154.6725872802503,12.479609940656074,32,-12.615508887188774,-41.637480793115884
8,43.54243912807824,134.900131791594,12.462692123264697,33,-6.745218973130875,-19.772455488656306
9,31.116518688725666,95.56645166281379,12.512583203736579,34,-12.425920439352577,-39.3336801287802
10,24.976904564197046,77.32415446026917,12.4369780907011,35,-6.13961412452862,-18.24229720254462
11,12.70268037112331,38.498946081986915,12.495304611575168,36,-12.274224193073735,-38.825208378282255
12,6.97007400507947,21.70335123043594,12.448916316200933,37,-5.732606366043841,-16.795594851550977
13,6.136999338808476,19.0177295588182,12.538796586580007,38,-0.8330746662709938,-2.6856216716177386
14,3.4456903160542702,11.04617325563928,12.524027674706662,39,-2.6913090227542056,-7.97155630317892
15,1.2827600045534016,4.149858543485929,12.494117140769637,40,-2.162930311500869,-6.896314712153351
16,0.7041221950878327,2.3358770497097052,12.4867079731263,41,-0.5786378094655689,-1.813981493776224
17,0.4955396997339013,1.6424840805879382,12.4943790822519,42,-0.20858249535393142,-0.6933929691217671
18,0.2933051213297381,0.9874291859014367,12.495796991087115,43,-0.20223457840416315,-0.6550548946865015
19,0.20214834209297447,0.7084724940221994,12.481568570669992,44,-0.09115677923676366,-0.27895669187923733
20,0.11919614547929495,0.407323870405443,12.496395921032327,45,-0.08295219661367952,-0.3011486236167564
21,0.0968682982796609,0.34399678562845887,12.49905878781614,46,-0.022327847199634057,-0.06332708477698412
22,0.08693943250749855,0.30880298025577335,12.489959487037464,47,-0.009928865772162343,-0.035193805372685516
23,0.043430598635101535,0.15487239343553552,12.474418304972184,48,-0.04350883387239702,-0.15393058682023783
24,0.026499446028284402,0.09209702305500005,12.52986691553845,49,-0.016931152606817133,-0.06277537038053548
25,0.04094277420812083,0.1553275938978061,12.514985787594835,50,0.014443328179836425,0.06323057084280605
26,0.010391368433393201,0.03800794613333667,12.482016200660933,51,-0.030551405774727626,-0.11731964776446943
27,0.012876447187984825,0.04967471716242755,12.477898554271345,52,0.0024850787545916235,0.011666771029090882
28,0.0068298826272066475,0.027071105715629495,12.504382740387715,53,-0.006046564560778177,-0.022603611446798056
29,0.0019108990941452651,0.008019396134705004,12.45680494940368,54,-0.004918983533061382,-0.01905170958092449
